State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Delaware,4/1/2026,869,512,58.9,-2.2,485,27,57.1,5.3,,,,,,,,
District of Columbia,4/1/2026,572,404,70.6,-0.9,379,25,9.1,6.2,,,,,,,,
Florida,4/1/2026,19330,11149,57.7,-1.6,10618,532,72.0,4.8,,,,,,,,
Georgia,4/1/2026,8976,5461,60.8,-2.1,5271,190,0.6,3.5,,,,,,,,
Hawaii,4/1/2026,1134,688,60.7,-0.7,671,17,12.6,2.4,,,,,,,,
Idaho,4/1/2026,1613,1004,62.2,-2.0,967,37,42.3,3.6,,,,,,,,
Illinois,4/1/2026,10269,6555,63.8,-0.3,6218,337,36.0,5.1,,,,,,,,
Indiana,4/1/2026,5522,3487,63.2,-1.0,3374,113,-3.0,3.3,,,,,,,,
Iowa,4/1/2026,2570,1735,67.5,-1.6,1678,57,24.0,3.3,,,,,,,,
Kansas,4/1/2026,2328,1569,67.4,0.3,1509,61,29.6,3.9,,,,,,,,
Kentucky,4/1/2026,3644,2098,57.6,-1.0,2008,90,5.2,4.3,,,,,,,,
Louisiana,4/1/2026,3607,2120,58.8,0.8,2026,94,-3.3,4.4,,,,,,,,
Maine,4/1/2026,1189,706,59.4,-2.7,684,22,0.1,3.1,,,,,,,,
Maryland,4/1/2026,5020,3207,63.9,-5.4,3065,142,23.8,4.4,,,,,,,,
Massachusetts,4/1/2026,5932,3889,65.6,-0.8,3707,181,53.8,4.7,,,,,,,,
Michigan,4/1/2026,8241,4950,60.1,-1.3,4700,250,34.5,5.0,,,,,,,,
Minnesota,4/1/2026,4669,3146,67.4,-2.6,3005,141,28.2,4.5,,,,,,,,
Mississippi,4/1/2026,2327,1289,55.4,-0.6,1239,49,-32.3,3.8,,,,,,,,
Missouri,4/1/2026,5000,3174,63.5,-0.5,3052,122,15.8,3.8,,,,,,,,
Montana,4/1/2026,932,576,61.8,-1.9,556,20,4.9,3.5,,,,,,,,
Nebraska,4/1/2026,1578,1103,69.9,-0.2,1069,33,5.0,3.0,,,,,,,,
Nevada,4/1/2026,2670,1697,63.6,-0.6,1608,89,30.9,5.3,,,,,,,,
New Hampshire,4/1/2026,1191,777,65.2,-3.0,753,24,22.2,3.1,,,,,,,,
New Jersey,4/1/2026,7731,4903,63.4,-1.0,4669,234,19.9,4.8,,,,,,,,
New Mexico,4/1/2026,1710,979,57.2,-0.6,931,48,-6.1,4.9,,,,,,,,
New York,4/1/2026,16370,10106,61.7,0.8,9642,464,12.4,4.6,,,,,,,,
North Carolina,4/1/2026,9008,5295,58.8,-2.6,5098,197,3.6,3.7,,,,,,,,
North Dakota,4/1/2026,622,435,69.9,0.6,425,11,17.4,2.4,,,,,,,,
Ohio,4/1/2026,9546,5912,61.9,-1.6,5680,232,-13.3,3.9,,,,,,,,
Oklahoma,4/1/2026,3218,1996,62.0,1.2,1916,80,38.0,4.0,,,,,,,,
Oregon,4/1/2026,3529,2205,62.5,1.5,2090,115,53.9,5.2,,,,,,,,
Pennsylvania,4/1/2026,10638,6607,62.1,-0.7,6332,276,-8.4,4.2,,,,,,,,
Rhode Island,4/1/2026,929,584,62.9,-1.3,557,27,27.0,4.5,,,,,,,,
South Carolina,4/1/2026,4525,2668,58.9,1.1,2540,128,87.6,4.8,,,,,,,,
South Dakota,4/1/2026,728,491,67.4,-1.8,480,11,-7.4,2.2,,,,,,,,
Tennessee,4/1/2026,5869,3504,59.7,-1.7,3377,127,10.6,3.6,,,,,,,,
Texas,4/1/2026,24730,15895,64.3,0.4,15212,683,36.0,4.3,,,,,,,,
Utah,4/1/2026,2740,1829,66.8,-1.5,1760,69,70.1,3.8,,,,,,,,
Vermont,4/1/2026,544,341,62.7,-3.2,332,9,16.1,2.6,,,,,,,,
Virginia,4/1/2026,7089,4497,63.4,-2.2,4325,172,34.7,3.8,,,,,,,,
Washington,4/1/2026,6504,4063,62.5,-3.0,3850,212,42.0,5.2,,,,,,,,
West Virginia,4/1/2026,1435,777,54.1,-0.8,742,35,-18.1,4.4,,,,,,,,
Wisconsin,4/1/2026,4860,3130,64.4,-1.7,3020,110,14.9,3.5,,,,,,,,
Wyoming,4/1/2026,472,288,61.0,-4.9,278,10,-26.6,3.5,,,,,,,,
Alabama,3/1/2026,4149,2384,57.5,0.2,2319,65,-11.6,2.7,,,,,,,,
Alaska,3/1/2026,558,370,66.2,1.7,352,17,-8.5,4.7,,,,,,,,
Arizona,3/1/2026,6160,3784,61.4,-0.6,3607,176,4.6,4.7,,,,,,,,
Arkansas,3/1/2026,2459,1455,59.2,1.3,1392,63,31.0,4.3,,,,,,,,
California,3/1/2026,31754,19770,62.3,-0.8,18717,1053,22.5,5.3,,,,,,,,
Colorado,3/1/2026,4866,3228,66.3,-2.3,3101,127,27.4,3.9,,,,,,,,
Connecticut,3/1/2026,3027,1921,63.5,-2.8,1829,93,24.5,4.8,,,,,,,,
