State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Delaware,3/1/2026,869,513,59.1,-1.9,486,28,59.8,5.4,,,,,,,,
District of Columbia,3/1/2026,572,405,70.8,-0.7,380,26,11.5,6.3,,,,,,,,
Florida,3/1/2026,19322,11146,57.7,-1.6,10623,523,69.1,4.7,,,,,,,,
Georgia,3/1/2026,8969,5455,60.8,-2.1,5262,193,2.0,3.5,,,,,,,,
Hawaii,3/1/2026,1134,687,60.6,-0.7,671,16,8.1,2.4,,,,,,,,
Idaho,3/1/2026,1611,1006,62.4,-1.8,969,37,42.5,3.6,,,,,,,,
Illinois,3/1/2026,10269,6571,64.0,-0.2,6236,335,34.9,5.1,,,,,,,,
Indiana,3/1/2026,5520,3493,63.3,-0.9,3379,114,-2.2,3.3,,,,,,,,
Iowa,3/1/2026,2570,1739,67.7,-1.5,1681,58,26.1,3.3,,,,,,,,
Kansas,3/1/2026,2327,1574,67.6,0.5,1512,62,32.0,3.9,,,,,,,,
Kentucky,3/1/2026,3643,2104,57.7,-0.8,2016,88,3.3,4.2,,,,,,,,
Louisiana,3/1/2026,3607,2118,58.7,0.7,2025,93,-3.7,4.4,,,,,,,,
Maine,3/1/2026,1188,707,59.5,-2.6,684,22,0.5,3.2,,,,,,,,
Maryland,3/1/2026,5019,3207,63.9,-5.4,3068,139,21.0,4.3,,,,,,,,
Massachusetts,3/1/2026,5932,3900,65.8,-0.6,3717,183,55.6,4.7,,,,,,,,
Michigan,3/1/2026,8239,4969,60.3,-1.0,4719,251,35.0,5.0,,,,,,,,
Minnesota,3/1/2026,4667,3156,67.6,-2.3,3013,143,30.1,4.5,,,,,,,,
Mississippi,3/1/2026,2327,1291,55.5,-0.5,1243,49,-33.0,3.8,,,,,,,,
Missouri,3/1/2026,4998,3176,63.5,-0.5,3054,122,16.2,3.9,,,,,,,,
Montana,3/1/2026,932,577,62.0,-1.7,556,21,8.4,3.6,,,,,,,,
Nebraska,3/1/2026,1577,1104,70.0,-0.1,1070,34,6.4,3.1,,,,,,,,
Nevada,3/1/2026,2668,1701,63.7,-0.4,1611,90,32.2,5.3,,,,,,,,
New Hampshire,3/1/2026,1191,777,65.3,-3.0,753,24,23.2,3.1,,,,,,,,
New Jersey,3/1/2026,7730,4907,63.5,-1.0,4666,241,23.5,4.9,,,,,,,,
New Mexico,3/1/2026,1710,982,57.4,-0.4,936,47,-7.8,4.8,,,,,,,,
New York,3/1/2026,16371,10120,61.8,0.9,9654,466,13.0,4.6,,,,,,,,
North Carolina,3/1/2026,8998,5305,59.0,-2.4,5108,197,3.9,3.7,,,,,,,,
North Dakota,3/1/2026,622,436,70.1,0.8,425,11,21.2,2.5,,,,,,,,
Ohio,3/1/2026,9543,5923,62.1,-1.4,5679,243,-9.0,4.1,,,,,,,,
Oklahoma,3/1/2026,3217,2006,62.4,1.6,1927,79,35.8,3.9,,,,,,,,
Oregon,3/1/2026,3528,2209,62.6,1.6,2095,115,54.0,5.2,,,,,,,,
Pennsylvania,3/1/2026,10638,6593,62.0,-0.8,6317,276,-8.3,4.2,,,,,,,,
Rhode Island,3/1/2026,928,587,63.2,-1.0,560,27,31.5,4.7,,,,,,,,
South Carolina,3/1/2026,4519,2663,58.9,1.1,2532,131,92.5,4.9,,,,,,,,
South Dakota,3/1/2026,727,492,67.6,-1.6,481,11,-3.3,2.3,,,,,,,,
Tennessee,3/1/2026,5865,3517,60.0,-1.5,3390,126,9.7,3.6,,,,,,,,
Texas,3/1/2026,24709,15917,64.4,0.5,15237,680,35.5,4.3,,,,,,,,
Utah,3/1/2026,2736,1836,67.1,-1.2,1766,70,71.3,3.8,,,,,,,,
Vermont,3/1/2026,544,343,62.9,-2.9,334,9,16.3,2.6,,,,,,,,
Virginia,3/1/2026,7085,4505,63.6,-2.0,4333,172,34.5,3.8,,,,,,,,
Washington,3/1/2026,6500,4064,62.5,-2.9,3855,209,39.8,5.1,,,,,,,,
West Virginia,3/1/2026,1435,779,54.3,-0.7,744,35,-16.7,4.5,,,,,,,,
Wisconsin,3/1/2026,4858,3129,64.4,-1.7,3020,110,14.3,3.5,,,,,,,,
Wyoming,3/1/2026,472,288,61.1,-4.7,278,10,-24.8,3.6,,,,,,,,
Alabama,2/1/2026,4147,2386,57.5,0.3,2321,65,-12.5,2.7,,,,,,,,
Alaska,2/1/2026,558,369,66.2,1.7,352,18,-7.0,4.7,,,,,,,,
Arizona,2/1/2026,6157,3801,61.7,-0.3,3626,175,3.5,4.6,,,,,,,,
Arkansas,2/1/2026,2458,1455,59.2,1.3,1391,63,31.7,4.4,,,,,,,,
California,2/1/2026,31760,19827,62.4,-0.6,18756,1070,24.4,5.4,,,,,,,,
Colorado,2/1/2026,4864,3238,66.6,-2.1,3111,127,27.6,3.9,,,,,,,,
Connecticut,2/1/2026,3026,1929,63.7,-2.5,1839,91,21.7,4.7,,,,,,,,
Delaware,2/1/2026,868,515,59.3,-1.7,487,28,62.1,5.4,,,,,,,,
District of Columbia,2/1/2026,572,407,71.1,-0.4,380,27,15.7,6.5,,,,,,,,
Florida,2/1/2026,19314,11141,57.7,-1.6,10625,516,66.8,4.6,,,,,,,,
Georgia,2/1/2026,8963,5451,60.8,-2.1,5257,194,2.6,3.6,,,,,,,,
Hawaii,2/1/2026,1134,688,60.7,-0.7,672,16,4.6,2.3,,,,,,,,
Idaho,2/1/2026,1609,1008,62.7,-1.5,971,37,44.0,3.7,,,,,,,,
Illinois,2/1/2026,10269,6570,64.0,-0.2,6242,328,32.4,5.0,,,,,,,,
Indiana,2/1/2026,5517,3498,63.4,-0.8,3383,115,-1.2,3.3,,,,,,,,
Iowa,2/1/2026,2569,1742,67.8,-1.4,1683,59,27.3,3.4,,,,,,,,
Kansas,2/1/2026,2326,1578,67.8,0.7,1516,62,32.7,3.9,,,,,,,,
Kentucky,2/1/2026,3642,2109,57.9,-0.7,2020,89,4.3,4.2,,,,,,,,
Louisiana,2/1/2026,3607,2118,58.7,0.7,2026,92,-5.4,4.3,,,,,,,,
Maine,2/1/2026,1188,708,59.6,-2.4,685,23,3.5,3.2,,,,,,,,
Maryland,2/1/2026,5018,3211,64.0,-5.3,3072,139,20.8,4.3,,,,,,,,
Massachusetts,2/1/2026,5932,3915,66.0,-0.3,3729,186,57.9,4.8,,,,,,,,
Michigan,2/1/2026,8237,4984,60.5,-0.8,4732,251,35.3,5.0,,,,,,,,
Minnesota,2/1/2026,4665,3169,67.9,-2.0,3027,142,29.2,4.5,,,,,,,,
Mississippi,2/1/2026,2327,1293,55.6,-0.5,1245,48,-34.3,3.7,,,,,,,,
Missouri,2/1/2026,4996,3177,63.6,-0.4,3055,122,16.4,3.9,,,,,,,,
Montana,2/1/2026,931,579,62.2,-1.5,558,21,8.9,3.6,,,,,,,,
Nebraska,2/1/2026,1576,1104,70.1,0.0,1070,34,6.4,3.1,,,,,,,,
Nevada,2/1/2026,2666,1698,63.7,-0.5,1608,90,32.1,5.3,,,,,,,,
New Hampshire,2/1/2026,1190,777,65.3,-2.9,752,25,26.3,3.2,,,,,,,,
New Jersey,2/1/2026,7729,4912,63.6,-0.9,4664,248,27.3,5.1,,,,,,,,
New Mexico,2/1/2026,1710,984,57.5,-0.3,938,46,-9.3,4.7,,,,,,,,
New York,2/1/2026,16373,10119,61.8,0.9,9649,470,14.0,4.6,,,,,,,,
North Carolina,2/1/2026,8989,5312,59.1,-2.3,5111,201,6.0,3.8,,,,,,,,
North Dakota,2/1/2026,622,436,70.1,0.8,424,11,23.7,2.6,,,,,,,,
Ohio,2/1/2026,9541,5930,62.2,-1.4,5678,251,-6.1,4.2,,,,,,,,
Oklahoma,2/1/2026,3215,2014,62.7,1.9,1935,79,36.4,3.9,,,,,,,,
Oregon,2/1/2026,3528,2214,62.8,1.8,2099,116,55.4,5.2,,,,,,,,
Pennsylvania,2/1/2026,10637,6587,61.9,-0.9,6308,279,-7.3,4.2,,,,,,,,
Rhode Island,2/1/2026,928,589,63.4,-0.8,562,27,30.2,4.6,,,,,,,,
South Carolina,2/1/2026,4514,2658,58.9,1.0,2525,133,95.4,5.0,,,,,,,,
South Dakota,2/1/2026,727,493,67.8,-1.4,482,11,-3.6,2.3,,,,,,,,
Tennessee,2/1/2026,5861,3533,60.3,-1.1,3405,128,10.7,3.6,,,,,,,,
Texas,2/1/2026,24688,15942,64.6,0.7,15257,685,36.5,4.3,,,,,,,,
Utah,2/1/2026,2733,1841,67.4,-0.9,1771,70,71.5,3.8,,,,,,,,
Vermont,2/1/2026,544,344,63.2,-2.6,335,9,18.5,2.6,,,,,,,,
Virginia,2/1/2026,7081,4513,63.7,-1.9,4344,169,32.6,3.8,,,,,,,,
Washington,2/1/2026,6495,4066,62.6,-2.8,3858,208,39.2,5.1,,,,,,,,
West Virginia,2/1/2026,1435,782,54.5,-0.5,746,37,-13.4,4.7,,,,,,,,
Wisconsin,2/1/2026,4857,3127,64.4,-1.8,3019,107,12.0,3.4,,,,,,,,
Wyoming,2/1/2026,471,289,61.2,-4.6,278,10,-24.0,3.6,,,,,,,,
Alabama,1/1/2026,4145,2388,57.6,0.4,2324,64,-13.5,2.7,,,,,,,,
Alaska,1/1/2026,558,369,66.1,1.6,351,18,-5.9,4.8,,,,,,,,
Arizona,1/1/2026,6153,3814,62.0,0.0,3643,171,1.6,4.5,,,,,,,,
Arkansas,1/1/2026,2457,1451,59.1,1.2,1388,64,32.2,4.4,,,,,,,,
California,1/1/2026,31766,19862,62.5,-0.5,18779,1082,25.8,5.4,,,,,,,,
Colorado,1/1/2026,4863,3249,66.8,-1.9,3123,126,26.6,3.9,,,,,,,,
Connecticut,1/1/2026,3026,1931,63.8,-2.5,1844,87,16.8,4.5,,,,,,,,
Delaware,1/1/2026,867,516,59.5,-1.5,488,28,62.0,5.4,,,,,,,,
District of Columbia,1/1/2026,572,408,71.3,-0.2,381,27,18.4,6.7,,,,,,,,
Florida,1/1/2026,19306,11124,57.6,-1.7,10625,499,61.4,4.5,,,,,,,,
Georgia,1/1/2026,8957,5446,60.8,-2.1,5253,193,1.8,3.5,,,,,,,,
Hawaii,1/1/2026,1134,688,60.7,-0.7,673,15,2.1,2.2,,,,,,,,
Idaho,1/1/2026,1607,1010,62.8,-1.3,973,37,44.6,3.7,,,,,,,,
Illinois,1/1/2026,10269,6561,63.9,-0.3,6242,319,28.5,4.9,,,,,,,,
Indiana,1/1/2026,5515,3504,63.5,-0.6,3385,118,1.3,3.4,,,,,,,,
Iowa,1/1/2026,2569,1744,67.9,-1.3,1684,59,28.3,3.4,,,,,,,,
Kansas,1/1/2026,2326,1580,67.9,0.8,1518,61,31.3,3.9,,,,,,,,
Kentucky,1/1/2026,3640,2115,58.1,-0.5,2024,90,5.9,4.3,,,,,,,,
Louisiana,1/1/2026,3607,2113,58.6,0.6,2023,90,-6.9,4.3,,,,,,,,
Maine,1/1/2026,1188,709,59.7,-2.3,686,23,5.7,3.3,,,,,,,,
Maryland,1/1/2026,5017,3215,64.1,-5.2,3078,137,19.0,4.3,,,,,,,,
Massachusetts,1/1/2026,5932,3927,66.2,-0.1,3740,186,58.0,4.7,,,,,,,,
Michigan,1/1/2026,8236,4993,60.6,-0.7,4741,252,35.5,5.0,,,,,,,,
Minnesota,1/1/2026,4663,3178,68.2,-1.8,3039,139,26.4,4.4,,,,,,,,
Mississippi,1/1/2026,2326,1293,55.6,-0.4,1247,47,-35.9,3.6,,,,,,,,
Missouri,1/1/2026,4995,3178,63.6,-0.4,3055,123,17.2,3.9,,,,,,,,
Montana,1/1/2026,930,579,62.3,-1.4,558,21,9.2,3.6,,,,,,,,
Nebraska,1/1/2026,1575,1105,70.1,0.0,1071,34,5.2,3.0,,,,,,,,
Nevada,1/1/2026,2665,1694,63.6,-0.6,1605,89,30.8,5.3,,,,,,,,
New Hampshire,1/1/2026,1190,777,65.3,-2.9,752,25,27.4,3.2,,,,,,,,
New Jersey,1/1/2026,7728,4918,63.6,-0.8,4663,255,30.5,5.2,,,,,,,,
New Mexico,1/1/2026,1710,985,57.6,-0.2,941,44,-12.5,4.5,,,,,,,,
New York,1/1/2026,16374,10105,61.7,0.8,9639,465,12.8,4.6,,,,,,,,
North Carolina,1/1/2026,8980,5313,59.2,-2.2,5110,203,7.2,3.8,,,,,,,,
North Dakota,1/1/2026,621,435,70.0,0.7,424,11,24.2,2.6,,,,,,,,
Ohio,1/1/2026,9539,5932,62.2,-1.3,5678,255,-4.8,4.3,,,,,,,,
Oklahoma,1/1/2026,3213,2019,62.8,2.0,1941,78,34.4,3.9,,,,,,,,
Oregon,1/1/2026,3527,2218,62.9,1.9,2102,116,56.1,5.2,,,,,,,,
Pennsylvania,1/1/2026,10637,6583,61.9,-0.9,6301,282,-6.3,4.3,,,,,,,,
Rhode Island,1/1/2026,928,591,63.7,-0.5,564,27,28.4,4.5,,,,,,,,
South Carolina,1/1/2026,4508,2646,58.7,0.8,2516,130,90.9,4.9,,,,,,,,
South Dakota,1/1/2026,726,493,68.0,-1.2,483,11,-5.1,2.2,,,,,,,,
Tennessee,1/1/2026,5857,3542,60.5,-1.0,3416,126,9.0,3.5,,,,,,,,
Texas,1/1/2026,24667,15955,64.7,0.8,15267,688,37.1,4.3,,,,,,,,
Utah,1/1/2026,2730,1844,67.5,-0.7,1775,69,70.2,3.8,,,,,,,,
Vermont,1/1/2026,544,345,63.5,-2.4,336,9,20.3,2.7,,,,,,,,
Virginia,1/1/2026,7078,4519,63.8,-1.8,4353,166,29.7,3.7,,,,,,,,
Washington,1/1/2026,6491,4065,62.6,-2.8,3861,204,36.7,5.0,,,,,,,,
West Virginia,1/1/2026,1435,783,54.5,-0.4,746,36,-14.0,4.6,,,,,,,,
Wisconsin,1/1/2026,4855,3121,64.3,-1.9,3018,103,7.9,3.3,,,,,,,,
Wyoming,1/1/2026,471,288,61.2,-4.6,278,10,-25.2,3.6,,,,,,,,
Alabama,12/1/2025,4143,2388,57.6,0.4,2323,65,-12.6,2.7,91,-8.1,-26,0.71,47,2.1,73,3.3
Alaska,12/1/2025,558,368,65.9,1.4,350,18,-6.9,4.8,16,-30.4,2,1.10,10,3.0,14,4.2
Arizona,12/1/2025,6149,3815,62.0,0.0,3648,167,-0.8,4.4,121,-23.9,46,1.38,63,1.9,127,3.9
Arkansas,12/1/2025,2456,1449,59.0,1.1,1386,62,29.2,4.3,60,3.4,2,1.04,27,2.0,46,3.4
California,12/1/2025,31771,19878,62.6,-0.5,18785,1093,27.1,5.5,674,-13.1,419,1.62,314,1.7,581,3.2
Colorado,12/1/2025,4862,3254,66.9,-1.7,3129,125,25.4,3.8,100,-19.4,25,1.25,59,2.0,86,2.9
Connecticut,12/1/2025,3025,1934,63.9,-2.4,1850,83,12.1,4.3,67,-4.3,16,1.24,27,1.6,61,3.6
Delaware,12/1/2025,867,517,59.7,-1.4,490,28,59.6,5.3,23,4.5,5,1.20,13,2.6,18,3.6
District of Columbia,12/1/2025,572,409,71.5,0.0,382,28,19.9,6.7,34,3.0,-6,0.81,11,1.5,19,2.6
Florida,12/1/2025,19298,11117,57.6,-1.7,10638,479,55.0,4.3,404,-1.0,75,1.19,208,2.1,304,3.1
Georgia,12/1/2025,8951,5441,60.8,-2.1,5251,190,0.6,3.5,279,22.9,-89,0.68,79,1.6,142,2.8
Hawaii,12/1/2025,1134,688,60.7,-0.7,673,15,1.1,2.2,19,-26.9,-4,0.80,13,2.0,18,2.8
Idaho,12/1/2025,1605,1010,62.9,-1.3,973,37,43.0,3.6,34,-15.0,3,1.08,23,2.6,34,3.9
Illinois,12/1/2025,10269,6560,63.9,-0.3,6252,308,24.1,4.7,211,-19.2,97,1.46,127,2.1,227,3.7
Indiana,12/1/2025,5513,3506,63.6,-0.6,3383,124,5.7,3.5,123,-17.4,1,1.00,105,3.2,114,3.5
Iowa,12/1/2025,2568,1744,67.9,-1.2,1684,60,29.9,3.4,57,-23.0,3,1.05,36,2.3,50,3.2
Kansas,12/1/2025,2325,1581,68.0,0.9,1521,60,28.4,3.8,61,-12.9,-1,0.98,37,2.5,49,3.3
Kentucky,12/1/2025,3639,2120,58.3,-0.3,2027,93,8.7,4.4,92,4.5,1,1.01,43,2.1,70,3.4
Louisiana,12/1/2025,3606,2108,58.5,0.5,2018,90,-7.7,4.2,101,3.1,-11,0.89,54,2.7,78,3.9
Maine,12/1/2025,1187,710,59.8,-2.2,687,23,5.9,3.3,28,-12.5,-5,0.84,13,2.0,20,3.0
Maryland,12/1/2025,5016,3222,64.2,-5.0,3085,136,18.5,4.2,127,-15.9,9,1.07,53,1.9,89,3.2
Massachusetts,12/1/2025,5933,3936,66.3,0.0,3752,184,56.1,4.7,129,-30.6,55,1.43,47,1.3,100,2.7
Michigan,12/1/2025,8234,5000,60.7,-0.6,4751,249,34.0,5.0,221,4.7,28,1.13,111,2.5,171,3.8
Minnesota,12/1/2025,4660,3182,68.3,-1.7,3048,134,22.0,4.2,135,12.5,-1,0.99,58,1.9,89,2.9
Mississippi,12/1/2025,2326,1296,55.7,-0.3,1248,47,-35.2,3.7,59,9.3,-12,0.80,29,2.4,46,3.9
Missouri,12/1/2025,4993,3175,63.6,-0.4,3052,123,17.1,3.9,128,2.4,-5,0.96,66,2.2,97,3.2
Montana,12/1/2025,930,579,62.3,-1.4,559,21,6.4,3.6,22,-18.5,-1,0.94,15,2.9,21,4.0
Nebraska,12/1/2025,1574,1105,70.2,0.1,1071,33,4.1,3.0,38,-22.4,-5,0.87,23,2.2,32,3.0
Nevada,12/1/2025,2663,1687,63.4,-0.8,1599,88,29.3,5.2,52,-16.1,36,1.70,28,1.8,64,4.0
New Hampshire,12/1/2025,1189,777,65.3,-2.9,752,25,25.9,3.2,22,-38.9,3,1.13,14,2.0,17,2.4
New Jersey,12/1/2025,7726,4919,63.7,-0.8,4655,264,35.1,5.4,172,-9.0,92,1.53,71,1.6,147,3.4
New Mexico,12/1/2025,1710,985,57.6,-0.2,943,43,-15.9,4.3,32,-25.6,11,1.33,18,2.0,29,3.3
New York,12/1/2025,16376,10080,61.6,0.6,9615,465,12.7,4.6,431,9.1,34,1.08,156,1.6,329,3.3
North Carolina,12/1/2025,8971,5317,59.3,-2.1,5113,203,7.2,3.8,212,-7.4,-9,0.96,114,2.2,161,3.2
North Dakota,12/1/2025,621,434,69.9,0.6,423,11,23.4,2.6,18,-21.7,-7,0.62,12,2.7,18,4.0
Ohio,12/1/2025,9537,5938,62.3,-1.2,5679,258,-3.5,4.4,287,10.8,-29,0.90,145,2.6,183,3.2
Oklahoma,12/1/2025,3211,2020,62.9,2.1,1945,75,30.0,3.7,101,29.5,-26,0.75,40,2.2,69,3.9
Oregon,12/1/2025,3527,2222,63.0,2.0,2105,117,57.0,5.3,72,-35.7,45,1.62,43,2.2,70,3.5
Pennsylvania,12/1/2025,10636,6571,61.8,-1.0,6284,287,-4.8,4.4,235,-8.6,52,1.22,111,1.8,186,3.0
Rhode Island,12/1/2025,928,592,63.8,-0.4,566,26,25.8,4.4,22,-4.3,4,1.19,9,1.8,20,3.9
South Carolina,12/1/2025,4503,2635,58.5,0.7,2509,126,84.3,4.8,103,-1.0,23,1.22,58,2.4,105,4.4
South Dakota,12/1/2025,726,494,68.1,-1.1,483,11,-7.2,2.2,20,-4.8,-9,0.54,16,3.4,17,3.6
Tennessee,12/1/2025,5854,3546,60.6,-0.8,3420,126,9.3,3.6,143,-12.8,-17,0.88,73,2.2,122,3.6
Texas,12/1/2025,24647,15959,64.7,0.9,15274,684,36.3,4.3,608,14.9,76,1.13,318,2.2,503,3.5
Utah,12/1/2025,2727,1845,67.7,-0.6,1777,68,67.5,3.7,64,-15.8,4,1.06,37,2.1,62,3.5
Vermont,12/1/2025,544,347,63.7,-2.2,338,9,20.0,2.7,11,-31.3,-2,0.84,7,2.2,9,2.9
Virginia,12/1/2025,7074,4520,63.9,-1.7,4359,161,26.0,3.6,213,0.0,-52,0.76,86,2.0,132,3.1
Washington,12/1/2025,6488,4063,62.6,-2.8,3865,198,32.6,4.9,110,-33.3,88,1.80,60,1.6,113,3.1
West Virginia,12/1/2025,1435,784,54.6,-0.3,748,36,-14.2,4.6,42,-4.5,-6,0.86,17,2.4,29,4.0
Wisconsin,12/1/2025,4854,3116,64.2,-1.9,3017,100,3.9,3.2,115,-22.8,-15,0.87,75,2.5,102,3.4
Wyoming,12/1/2025,471,288,61.3,-4.5,278,10,-26.9,3.5,11,-35.3,-1,0.91,8,2.7,11,3.7
Alabama,11/1/2025,4141,2388,57.7,0.4,2323,65,-12.5,2.7,95,-4.0,-30,0.68,45,2.0,61,2.8
Alaska,11/1/2025,558,368,65.9,1.5,350,18,-6.9,4.8,18,-21.7,0,0.97,9,2.7,17,5.1
Arizona,11/1/2025,6145,3816,62.1,0.1,3648,168,-0.6,4.4,139,-12.6,29,1.21,70,2.2,106,3.3
Arkansas,11/1/2025,2455,1449,59.0,1.1,1386,62,29.5,4.3,69,19.0,-7,0.90,28,2.1,49,3.7
California,11/1/2025,31776,19879,62.6,-0.5,18785,1094,27.2,5.5,676,-12.9,418,1.62,276,1.5,554,3.1
Colorado,11/1/2025,4861,3254,66.9,-1.7,3129,125,25.2,3.8,109,-12.1,16,1.15,64,2.2,97,3.3
Connecticut,11/1/2025,3025,1934,63.9,-2.3,1850,84,12.3,4.3,69,-1.4,15,1.21,25,1.5,55,3.2
Delaware,11/1/2025,866,517,59.7,-1.3,490,28,60.1,5.3,22,0.0,6,1.25,11,2.2,15,3.0
District of Columbia,11/1/2025,572,409,71.4,0.0,381,28,20.2,6.7,29,-12.1,-1,0.95,14,1.9,16,2.2
Florida,11/1/2025,19288,11116,57.6,-1.7,10636,481,55.5,4.3,414,1.5,67,1.16,194,2.0,284,2.9
Georgia,11/1/2025,8945,5442,60.8,-2.1,5252,191,0.7,3.5,308,35.7,-117,0.62,116,2.3,155,3.1
Hawaii,11/1/2025,1134,688,60.7,-0.7,673,15,0.4,2.2,19,-26.9,-4,0.79,13,2.0,17,2.6
Idaho,11/1/2025,1603,1010,63.0,-1.2,973,37,43.1,3.6,34,-15.0,3,1.08,21,2.4,33,3.7
Illinois,11/1/2025,10268,6558,63.9,-0.3,6250,308,24.0,4.7,240,-8.0,68,1.28,125,2.0,230,3.7
Indiana,11/1/2025,5511,3506,63.6,-0.5,3383,124,5.9,3.5,141,-5.4,-17,0.88,82,2.5,132,4.1
Iowa,11/1/2025,2568,1743,67.9,-1.2,1684,60,29.7,3.4,59,-20.3,1,1.01,32,2.0,45,2.8
Kansas,11/1/2025,2324,1581,68.0,0.9,1521,60,28.4,3.8,62,-11.4,-2,0.97,35,2.4,45,3.1
Kentucky,11/1/2025,3638,2120,58.3,-0.3,2027,93,8.8,4.4,97,10.2,-4,0.96,44,2.2,62,3.1
Louisiana,11/1/2025,3606,2108,58.5,0.5,2019,90,-7.7,4.2,109,11.2,-19,0.82,52,2.6,77,3.9
Maine,11/1/2025,1187,710,59.8,-2.2,687,24,6.0,3.3,31,-3.1,-7,0.76,10,1.5,24,3.6
Maryland,11/1/2025,5014,3223,64.3,-5.0,3085,138,19.5,4.3,133,-11.9,5,1.03,59,2.1,74,2.7
Massachusetts,11/1/2025,5933,3936,66.3,0.0,3751,184,56.3,4.7,137,-26.3,47,1.34,46,1.2,96,2.6
Michigan,11/1/2025,8232,4999,60.7,-0.6,4751,248,33.7,5.0,221,4.7,27,1.12,109,2.4,140,3.1
Minnesota,11/1/2025,4658,3183,68.3,-1.6,3049,134,22.3,4.2,141,17.5,-7,0.95,46,1.5,81,2.7
Mississippi,11/1/2025,2326,1296,55.7,-0.3,1249,47,-35.2,3.7,72,33.3,-25,0.66,30,2.5,45,3.8
Missouri,11/1/2025,4991,3176,63.6,-0.4,3053,123,17.1,3.9,125,0.0,-2,0.99,67,2.2,85,2.8
Montana,11/1/2025,929,579,62.3,-1.3,559,21,6.7,3.6,23,-14.8,-2,0.90,13,2.5,24,4.6
Nebraska,11/1/2025,1574,1105,70.2,0.1,1072,33,4.1,3.0,41,-16.3,-8,0.81,22,2.1,31,2.9
Nevada,11/1/2025,2661,1687,63.4,-0.8,1599,88,29.4,5.2,55,-11.3,33,1.61,28,1.8,55,3.4
New Hampshire,11/1/2025,1189,777,65.3,-2.9,752,25,25.8,3.2,32,-11.1,-7,0.78,11,1.6,26,3.7
New Jersey,11/1/2025,7725,4920,63.7,-0.8,4655,265,35.7,5.4,214,13.2,51,1.24,56,1.3,136,3.1
New Mexico,11/1/2025,1710,985,57.6,-0.2,942,43,-15.9,4.3,37,-14.0,6,1.15,17,1.9,31,3.5
New York,11/1/2025,16377,10081,61.6,0.6,9614,467,13.2,4.6,449,13.7,18,1.04,144,1.4,335,3.4
North Carolina,11/1/2025,8962,5317,59.3,-2.1,5113,204,7.3,3.8,217,-5.2,-13,0.94,117,2.3,153,3.0
North Dakota,11/1/2025,621,434,69.9,0.6,423,11,23.5,2.6,21,-8.7,-10,0.53,10,2.2,17,3.8
Ohio,11/1/2025,9534,5937,62.3,-1.2,5679,258,-3.7,4.3,266,2.7,-8,0.97,123,2.2,164,2.9
Oklahoma,11/1/2025,3210,2020,62.9,2.2,1945,76,30.4,3.7,108,38.5,-32,0.70,43,2.4,60,3.4
Oregon,11/1/2025,3526,2222,63.0,2.0,2105,117,57.2,5.3,70,-37.5,47,1.67,38,1.9,63,3.2
Pennsylvania,11/1/2025,10635,6571,61.8,-1.0,6284,288,-4.5,4.4,228,-11.3,60,1.26,134,2.2,177,2.9
Rhode Island,11/1/2025,928,592,63.8,-0.4,566,26,25.6,4.4,25,8.7,1,1.05,8,1.6,22,4.3
South Carolina,11/1/2025,4497,2635,58.6,0.7,2509,126,84.7,4.8,111,6.7,15,1.14,57,2.4,92,3.8
South Dakota,11/1/2025,725,494,68.2,-1.0,483,11,-7.1,2.2,22,4.8,-11,0.49,10,2.1,17,3.6
Tennessee,11/1/2025,5850,3546,60.6,-0.8,3421,126,9.3,3.6,159,-3.0,-33,0.79,94,2.8,127,3.8
Texas,11/1/2025,24626,15962,64.8,0.9,15277,686,36.6,4.3,623,17.8,63,1.10,296,2.1,455,3.2
Utah,11/1/2025,2724,1845,67.7,-0.5,1777,68,67.8,3.7,65,-14.5,3,1.05,38,2.1,56,3.2
Vermont,11/1/2025,545,347,63.7,-2.2,337,9,20.0,2.7,14,-12.5,-5,0.66,5,1.6,11,3.5
Virginia,11/1/2025,7070,4519,63.9,-1.7,4358,161,26.1,3.6,218,2.3,-57,0.74,91,2.1,153,3.6
Washington,11/1/2025,6483,4063,62.7,-2.8,3865,198,32.6,4.9,106,-35.8,92,1.87,57,1.6,89,2.4
West Virginia,11/1/2025,1435,784,54.6,-0.3,748,36,-13.8,4.6,42,-4.5,-6,0.87,17,2.4,27,3.8
Wisconsin,11/1/2025,4852,3115,64.2,-1.9,3016,99,3.8,3.2,118,-20.8,-19,0.84,63,2.1,91,3.0
Wyoming,11/1/2025,471,288,61.3,-4.5,278,10,-26.9,3.5,12,-29.4,-2,0.83,5,1.7,12,4.1
Alabama,10/1/2025,,,,,,,,,100,1.0,,,37,1.7,58,2.6
Alaska,10/1/2025,,,,,,,,,22,-4.3,,,5,1.5,35,10.4
Arizona,10/1/2025,,,,,,,,,154,-3.1,,,61,1.9,105,3.2
Arkansas,10/1/2025,,,,,,,,,65,12.1,,,32,2.4,44,3.3
California,10/1/2025,,,,,,,,,685,-11.7,,,265,1.5,513,2.8
